ID,Type,Task Name,Category,Accuracy,Date
1,Primary,Turn on light,Voice Command,92%,2025-03-01
2,Secondary,Object Recognition,Vision,85%,2025-03-01
3,Primary,Move forward,Movement,89%,2025-03-02
4,Secondary,Path Planning,Navigation,80%,2025-03-02
5,Primary,Pick object,Arm Motion,85%,2025-03-03
6,Secondary,Voice Recognition,Audio Processing,90%,2025-03-03
7,Primary,Turn off light,Voice Command,91%,2025-03-04
8,Secondary,Environment Mapping,Vision,88%,2025-03-04
9,Primary,Rotate 180 degrees,Rotation,88%,2025-03-05
10,Secondary,Battery Efficiency,Energy Management,92%,2025-03-05
11,Primary,Open door,Arm Motion,87%,2025-03-06
12,Secondary,Object Handling,Grasping,87%,2025-03-06
13,Primary,Charge battery,Battery Management,95%,2025-03-07
14,Secondary,Task Automation,Programming,93%,2025-03-07
15,Primary,Sweep floor,Movement,90%,2025-03-08
16,Secondary,Motion Detection,Sensors,91%,2025-03-08
17,Primary,Serve drink,Arm Motion,93%,2025-03-09
18,Secondary,Environmental Perception,Sensors,89%,2025-03-09
19,Primary,Stop movement,Movement,94%,2025-03-10
20,Secondary,Control System,Feedback System,94%,2025-03-10
21,Primary,Pick up object,Arm Motion,80%,2025-03-11
22,Secondary,Decision Making,AI Processing,85%,2025-03-11
23,Primary,Turn left,Movement,82%,2025-03-12
24,Secondary,Navigation Assistance,GPS System,86%,2025-03-12
25,Primary,Turn right,Movement,87%,2025-03-13
26,Secondary,Motion Control,Servo Motors,80%,2025-03-13
27,Primary,Move backward,Movement,90%,2025-03-14
28,Secondary,Temperature Regulation,Climate Control,91%,2025-03-14
29,Primary,Serve snack,Arm Motion,92%,2025-03-15
30,Secondary,Object Handling,Grasping,87%,2025-03-15
31,Primary,Charge dock,Battery Management,95%,2025-03-16
32,Secondary,Path Planning,Navigation,80%,2025-03-16
33,Primary,Pick up trash,Arm Motion,85%,2025-03-17
34,Secondary,Decision Making,AI Processing,85%,2025-03-17
35,Primary,Turn on air purifier,Voice Command,91%,2025-03-18
36,Secondary,Object Recognition,Vision,85%,2025-03-18
37,Primary,Rotate 90 degrees,Rotation,88%,2025-03-19
38,Secondary,Battery Efficiency,Energy Management,92%,2025-03-19
39,Primary,Open window,Arm Motion,86%,2025-03-20
40,Secondary,Task Automation,Programming,93%,2025-03-20
41,Primary,Close window,Arm Motion,89%,2025-03-21
42,Secondary,Environmental Perception,Sensors,89%,2025-03-21
43,Primary,Bring newspaper,Arm Motion,87%,2025-03-22
44,Secondary,Control System,Feedback System,94%,2025-03-22
45,Primary,Sweep dust,Movement,90%,2025-03-23
46,Secondary,Motion Detection,Sensors,91%,2025-03-23
47,Primary,Refill water,Arm Motion,92%,2025-03-24
48,Secondary,Path Planning,Navigation,80%,2025-03-24
49,Primary,Rotate 180 degrees,Rotation,91%,2025-03-25
50,Secondary,Object Handling,Grasping,87%,2025-03-25
51,Primary,Clean surface,Arm Motion,88%,2025-03-26
52,Secondary,Decision Making,AI Processing,85%,2025-03-26
53,Primary,Turn on fan,Voice Command,90%,2025-03-27
54,Secondary,Battery Efficiency,Energy Management,92%,2025-03-27
55,Primary,Charge in dock,Battery Management,93%,2025-03-28
56,Secondary,Environmental Perception,Sensors,89%,2025-03-28
57,Primary,Lift object,Arm Motion,91%,2025-03-29
58,Secondary,Path Planning,Navigation,80%,2025-03-29
59,Primary,Rotate head,Rotation,89%,2025-03-30
60,Secondary,Temperature Regulation,Climate Control,91%,2025-03-30
61,Primary,Move left,Movement,86%,2025-03-31
62,Secondary,Task Automation,Programming,93%,2025-03-31
63,Primary,Move right,Movement,83%,2025-04-01
64,Secondary,Object Recognition,Vision,85%,2025-04-01
65,Primary,Pick up object,Arm Motion,92%,2025-04-02
66,Secondary,Motion Detection,Sensors,91%,2025-04-02
67,Primary,Open door,Arm Motion,89%,2025-04-03
68,Secondary,Environmental Mapping,Vision,88%,2025-04-03
69,Primary,Serve food,Arm Motion,94%,2025-04-04
70,Secondary,Path Planning,Navigation,92%,2025-04-04
71,Primary,Adjust thermostat,Climate Control,89%,2025-04-05
72,Secondary,Voice command error,Audio Processing,85%,2025-04-05
73,Primary,Navigate stairs,Movement,87%,2025-04-06
74,Secondary,Collision avoidance,Sensors,90%,2025-04-06
75,Primary,Water plants,Arm Motion,88%,2025-04-07
76,Secondary,Task scheduling,Programming,92%,2025-04-07
77,Primary,Respond to alert,AI Processing,91%,2025-04-08
78,Secondary,Light intensity adjust,Vision,87%,2025-04-08
79,Primary,Deliver medication,Arm Motion,93%,2025-04-09
80,Secondary,Battery charge status,Energy Management,94%,2025-04-09
81,Primary,Open curtains,Arm Motion,90%,2025-04-10
82,Secondary,Voice recognition test,Audio Processing,88%,2025-04-10
83,Primary,Emergency stop,Movement,95%,2025-04-11
84,Secondary,Sensor calibration,Sensors,91%,2025-04-11
85,Primary,Deliver mail,Movement,89%,2025-04-12
86,Secondary,AI model update,Programming,93%,2025-04-12
87,Primary,Lift arm,Arm Motion,90%,2025-04-13
88,Secondary,System diagnostics,Feedback System,94%,2025-04-13
89,Primary,Open fridge,Arm Motion,85%,2025-04-14
90,Secondary,Data logging,Programming,92%,2025-04-14
91,Primary,Clean windows,Arm Motion,87%,2025-04-15
92,Secondary,Navigation test,Sensors,89%,2025-04-15
93,Primary,Fold clothes,Arm Motion,90%,2025-04-16
94,Secondary,Voice feedback,Audio Processing,88%,2025-04-16
95,Primary,Recharge battery,Battery Management,94%,2025-04-17
96,Secondary,Task rescheduling,Programming,91%,2025-04-17
97,Primary,Monitor environment,Sensors,90%,2025-04-18
98,Secondary,Path recalculation,Navigation,87%,2025-04-18
99,Primary,Turn off device,Voice Command,89%,2025-04-19
100,Secondary,System update,Programming,93%,2025-04-19
101,Primary,Serving Food,Movement,95%,2025-04-20
